CarID,ManufacturerID,Model,EngineSize,FuelType,YearOfManufacture,Mileage,Price,DealerID
C28076,1,Fiesta,1.2,Petrol,2015,68890,12244,39
C17841,3,Yaris,1.2,Petrol,2011,93557,9154,32
C27803,0,M5,4.4,Petrol,1997,209267,6694,27
C07683,4,Golf,1.4,Petrol,1999,114939,3990,23
C24280,1,Mondeo,1.6,Diesel,2020,6881,42995,27
C33071,3,RAV4,1.8,Hybrid,2002,99708,10790,38
C35558,1,Focus,1.6,Hybrid,1992,137762,3198,45
C37190,0,X3,2.0,Diesel,1994,143418,3959,12
C47150,0,Z4,2.2,Petrol,2014,40717,29670,21
C46916,4,Polo,2.0,Petrol,1995,128433,2773,27
C09802,4,Passat,2.0,Diesel,2008,114738,11389,42
C38801,1,Mondeo,1.4,Diesel,2019,32123,32759,47
C24670,1,Mondeo,1.6,Diesel,2012,93662,14710,48
C44234,4,Polo,1.4,Petrol,1994,225404,951,5
C31920,4,Golf,1.2,Diesel,1994,172758,1743,21
C07135,0,Z4,2.4,Petrol,1998,55213,9751,25
C33705,1,Fiesta,1.0,Petrol,2006,43125,7227,12
C29661,2,Cayenne,2.6,Petrol,2011,106875,24190,31
C17894,1,Fiesta,1.4,Diesel,2013,31415,15346,21
C22019,3,RAV4,2.2,Hybrid,2012,68319,28928,28
C13539,3,RAV4,2.2,Hybrid,2001,105667,10681,43
C43119,3,RAV4,1.8,Petrol,2002,129607,7167,38
C36421,1,Mondeo,1.4,Diesel,2008,97983,10215,15
C09406,4,Golf,1.8,Petrol,1999,157206,3233,23
C13414,0,X3,2.4,Diesel,2000,125944,7433,14
C06721,1,Fiesta,1.0,Petrol,1999,148127,2131,18
C15602,1,Focus,1.6,Petrol,1999,160246,3538,24
C44744,4,Passat,1.4,Diesel,1987,275816,581,25
C31139,4,Golf,1.8,Petrol,1996,183463,2119,22
C02730,3,Prius,1.4,Hybrid,2017,25793,35593,8
C38243,1,Fiesta,1.2,Petrol,2017,53467,15462,3
C29626,4,Polo,1.6,Diesel,2009,64083,10542,26
C47895,4,Passat,2.0,Diesel,1998,112238,5959,14
C42091,2,911,3.0,Petrol,2020,11852,129795,10
C36400,1,Focus,1.8,Diesel,1987,217598,1076,27
C06245,4,Passat,1.4,Petrol,2017,20443,30816,0
C05546,1,Focus,1.8,Diesel,2005,80643,10823,27
C04065,4,Passat,1.8,Petrol,2010,73959,15765,23
C12852,4,Polo,1.2,Petrol,1996,173917,1582,0
C21803,3,Yaris,1.0,Hybrid,1996,178921,1874,28
C41164,4,Polo,1.4,Diesel,2001,202260,1959,18
C06233,3,Yaris,1.0,Hybrid,2017,18602,24082,15
C03863,4,Polo,2.0,Petrol,2018,30228,25193,42
C35095,3,RAV4,2.2,Petrol,2007,130722,10962,9
C40196,1,Fiesta,1.0,Petrol,1986,81971,1479,8
C39251,4,Passat,1.6,Diesel,2008,121191,9696,6
C06218,4,Passat,2.0,Diesel,2014,58023,25305,30
C36776,1,Mondeo,1.8,Hybrid,1991,161237,2596,15
C42977,4,Passat,2.0,Petrol,2005,142054,7171,28
C48468,0,M5,4.0,Petrol,2016,37881,83835,29
C14832,3,Yaris,1.0,Petrol,2014,72966,11781,39
C30093,1,Fiesta,1.2,Petrol,2007,73777,6951,21
C08894,4,Golf,1.4,Petrol,2010,144461,6589,40
C06021,0,X3,3.0,Diesel,1989,175325,2665,9
C46089,1,Mondeo,2.0,Diesel,2017,36239,33452,19
C15243,1,Fiesta,1.4,Petrol,2022,4158,30891,18
C45308,1,Mondeo,2.0,Diesel,1994,236713,1507,44
C26551,1,Fiesta,1.2,Petrol,2017,34134,17390,9
C06035,1,Mondeo,2.0,Diesel,2008,51775,16703,0
C07906,3,Prius,1.8,Hybrid,2004,98202,10605,20
C32226,1,Mondeo,2.0,Diesel,1994,189351,2301,26
C06018,3,Prius,1.4,Hybrid,1998,127333,5031,33
C21880,4,Passat,1.6,Diesel,1996,126177,4191,35
C02792,4,Golf,1.2,Petrol,2017,12095,23949,25
C42606,4,Golf,2.0,Diesel,2015,60812,21317,15
C05824,1,Mondeo,1.8,Diesel,2016,52416,26904,12
C15388,1,Fiesta,1.4,Petrol,2022,7038,30437,31
C29562,1,Mondeo,1.6,Diesel,2011,58571,17478,32
C39476,3,Yaris,1.2,Hybrid,2013,74213,14367,37
C00293,1,Focus,1.0,Petrol,2018,19640,26712,28
C16958,3,Prius,1.8,Hybrid,2018,33831,41196,23
C30861,1,Focus,1.4,Petrol,1996,142734,3128,18
C14074,0,M5,5.0,Petrol,2004,79991,32129,1
C21857,4,Passat,1.8,Diesel,2018,49672,33040,0
C22080,4,Golf,1.4,Petrol,1992,196819,1274,19
C17024,3,Yaris,1.4,Petrol,2003,182211,2865,46
C08740,3,RAV4,2.2,Hybrid,2008,141946,12859,9
C15826,3,Yaris,1.0,Hybrid,2014,69442,14476,7
C02742,1,Fiesta,1.4,Petrol,2008,74758,7972,0
C18049,3,Prius,1.0,Hybrid,2013,101842,14026,23
C49937,1,Fiesta,1.2,Petrol,2013,35476,13215,30
C17373,1,Fiesta,1.2,Petrol,1994,124978,2011,41
C22022,1,Mondeo,1.4,Diesel,1999,96637,5661,16
C46365,3,Yaris,1.4,Hybrid,2017,38503,25435,48
C23538,4,Golf,1.8,Diesel,2021,9759,40708,47
C45500,4,Polo,2.0,Petrol,1992,67940,3523,40
C40186,3,RAV4,1.8,Hybrid,1993,198469,2654,8
C09614,1,Focus,1.0,Petrol,1995,187606,1697,20
C43282,3,Yaris,1.4,Hybrid,1996,167567,2442,3
C37892,3,RAV4,1.8,Hybrid,1993,188413,2898,46
C26179,0,M5,5.0,Petrol,2016,47004,88701,17
C45893,3,Prius,1.0,Hybrid,2006,117306,7833,45
C20934,1,Mondeo,1.4,Diesel,2009,80253,12382,14
C40972,3,Yaris,1.2,Hybrid,2003,124007,5132,39
C22225,3,Yaris,1.0,Petrol,2012,50525,11929,14
C24382,3,Prius,1.0,Hybrid,2001,93091,6715,17
C34856,0,Z4,2.4,Petrol,1984,208219,1163,43
C48578,0,X3,2.4,Diesel,2011,73275,22722,1
C38537,1,Focus,2.0,Petrol,2014,82905,19491,5
C31756,4,Polo,1.2,Petrol,2002,83147,4793,16
C07754,2,911,3.5,Petrol,2001,167358,13263,35
C46639,0,X3,2.4,Petrol,1995,119816,5318,4
C43835,4,Passat,1.4,Diesel,1994,81909,4757,46
C26236,1,Fiesta,1.2,Petrol,2014,63762,11849,36
C44230,0,X3,2.0,Diesel,2019,18694,49389,33
C49597,1,Fiesta,1.2,Petrol,1999,144318,2408,24
C18553,0,M5,4.0,Petrol,2006,88042,31040,49
C43137,1,Fiesta,1.2,Petrol,2018,28266,19229,9
C36673,3,Prius,1.0,Hybrid,1985,82024,2499,29
C43650,3,Prius,1.0,Hybrid,1995,272193,982,8
C03941,3,Yaris,1.2,Petrol,2019,14052,25745,29
C31497,1,Focus,1.0,Hybrid,1988,340977,307,35
C26594,1,Fiesta,1.4,Petrol,2004,147486,3538,8
C23922,2,Cayenne,2.6,Diesel,1998,113118,10188,46
C26403,4,Golf,2.0,Hybrid,2003,53093,11500,22
C45943,4,Passat,1.4,Diesel,2017,42857,28423,18
C48526,3,Yaris,1.4,Petrol,2003,75862,6565,0
C18316,1,Fiesta,1.4,Petrol,2015,27169,17111,44
C36894,1,Focus,1.8,Hybrid,2016,60397,29491,48
C26696,4,Golf,2.0,Hybrid,2010,58982,17664,12
C42128,3,RAV4,2.4,Hybrid,2006,113876,14640,25
C14171,3,Prius,1.0,Hybrid,1991,79785,3786,1
C03733,3,RAV4,2.0,Hybrid,1997,108555,7634,20
C07882,3,Prius,1.4,Hybrid,2002,167049,4757,42
C06017,4,Polo,1.4,Petrol,1999,229441,1279,18
C23030,0,M5,5.0,Petrol,2017,30432,104651,39
C35474,1,Focus,2.0,Petrol,2004,123689,7409,15
C49686,1,Fiesta,1.0,Petrol,1999,132230,2421,3
C04818,0,M5,5.0,Petrol,1985,293380,1474,2
C41694,4,Passat,2.0,Diesel,2011,95665,16022,0
C12008,3,Prius,1.4,Hybrid,1996,173346,3023,1
C41328,3,Prius,1.8,Hybrid,2006,121064,10210,17
C09507,0,X3,2.0,Diesel,2009,76295,17785,17
C44799,4,Golf,1.4,Petrol,2015,50734,18110,3
C34063,1,Focus,2.0,Petrol,2019,22929,39653,46
C27475,4,Polo,1.0,Diesel,2014,42892,13294,42
C31144,1,Focus,2.0,Diesel,2015,56991,26010,0
C21236,3,Prius,1.4,Hybrid,2010,43037,20178,12
C01391,2,911,2.6,Petrol,2005,100825,25261,39
C38250,3,Yaris,1.0,Hybrid,2018,36759,23217,8
C37625,1,Mondeo,1.4,Diesel,2011,93722,12867,34
C42029,1,Fiesta,1.2,Petrol,2002,117575,3631,23
C20835,3,Yaris,1.4,Hybrid,1998,88054,5187,5
C14758,4,Passat,2.0,Diesel,1990,181130,1999,20
C26397,3,Prius,1.8,Hybrid,2019,18569,48003,3
C06809,4,Polo,1.0,Petrol,2008,67376,7266,2
C09226,1,Fiesta,1.0,Diesel,2007,111454,5088,44
C48395,1,Focus,2.0,Petrol,2008,81644,13180,2
C05396,3,Yaris,1.2,Petrol,1996,82111,3651,32
C06944,3,Prius,1.4,Hybrid,1991,405205,246,0
C23871,4,Golf,2.0,Petrol,2003,119664,6006,21
C32493,2,Cayenne,2.6,Petrol,1989,210610,2368,2
C36346,4,Golf,1.4,Diesel,2007,104226,7738,2
C10756,3,RAV4,2.0,Hybrid,2019,26249,56988,45
C12302,4,Golf,1.6,Petrol,2013,34061,18740,46
C48387,4,Passat,1.4,Diesel,1998,121364,4650,12
C42746,1,Focus,1.6,Petrol,2012,90101,14503,19
C29090,1,Focus,1.0,Petrol,1998,186024,2102,33
C44713,4,Passat,1.6,Diesel,2006,121402,8472,6
C14344,1,Focus,2.0,Petrol,2012,72485,18320,12
C38173,4,Passat,1.6,Petrol,2001,49679,9551,3
C05072,4,Passat,2.0,Diesel,2001,181796,4139,9
C24122,3,Yaris,1.2,Hybrid,2007,136695,6064,16
C48810,1,Fiesta,1.0,Hybrid,2006,111468,5439,35
C17821,3,RAV4,1.8,Hybrid,1989,236721,1442,34
C01123,4,Passat,2.0,Diesel,2001,129028,6396,19
C11265,3,Prius,1.0,Hybrid,1998,182217,2706,32
C30580,1,Fiesta,1.0,Petrol,1999,140064,2275,12
C45465,2,718 Cayman,2.0,Petrol,2012,48681,28520,28
C48217,2,Cayenne,3.5,Petrol,1994,247985,2731,30
C43045,3,Yaris,1.0,Petrol,2022,7037,29785,14
C15657,3,Yaris,1.0,Petrol,2003,75361,5567,14
C01901,3,Yaris,1.0,Petrol,1995,145212,1935,17
C00148,4,Passat,1.4,Diesel,2008,112309,9705,44
C29643,4,Polo,1.0,Petrol,1992,249354,565,25
C03212,1,Fiesta,1.0,Petrol,2017,43992,14968,0
C43851,1,Mondeo,1.4,Diesel,2001,156725,4051,4
C02355,3,RAV4,2.4,Hybrid,1986,146972,2975,39
C31521,1,Mondeo,1.4,Petrol,1989,76337,3193,30
C42584,3,Prius,1.0,Hybrid,2013,63336,18329,0
C43338,3,Yaris,1.4,Petrol,2005,104248,6131,38
C45285,4,Passat,1.4,Diesel,1994,83413,4708,46
C46957,3,RAV4,2.4,Hybrid,1995,237178,2474,3
C48791,4,Golf,2.0,Petrol,1994,170227,2189,43
C36586,3,Prius,1.0,Hybrid,2007,163118,5799,2
C10466,3,Yaris,1.2,Petrol,1999,172419,2208,21
C07822,4,Polo,1.4,Petrol,1993,188246,1237,36
C07206,4,Golf,1.6,Petrol,1990,139489,1932,3
C06414,3,RAV4,2.2,Petrol,2016,41439,37319,8
C34047,1,Focus,1.6,Diesel,2020,26669,38980,45
C12729,3,RAV4,2.2,Petrol,2018,38748,43334,48
C06926,4,Golf,2.0,Diesel,2004,99523,7839,30
C27996,3,RAV4,2.2,Hybrid,2004,64034,17457,28
C37613,0,X3,3.0,Diesel,2007,118475,14039,36
C39484,1,Mondeo,1.8,Diesel,2015,38531,27400,36
C03017,1,Focus,1.4,Petrol,2021,15358,39513,28
C01641,3,Yaris,1.0,Hybrid,2012,54872,13928,12
C08884,4,Golf,2.0,Hybrid,2014,64126,22304,29
C37602,4,Passat,1.8,Diesel,2005,133363,7656,32
C12970,4,Polo,2.0,Diesel,1997,80407,4745,23
C23464,3,RAV4,2.4,Hybrid,1996,146983,5794,1
C15758,1,Focus,2.0,Petrol,2002,30815,12208,2
C44077,1,Mondeo,1.6,Diesel,1991,265377,847,6
C04087,0,Z4,2.4,Petrol,2000,154408,5365,26
C00509,4,Golf,1.6,Hybrid,2003,110332,6919,35
C06355,1,Mondeo,1.6,Hybrid,1999,206665,2820,23
C29645,1,Fiesta,1.2,Hybrid,2022,7734,33693,33
C20816,4,Passat,1.4,Diesel,2019,18396,37390,4
C06235,4,Passat,2.0,Petrol,2014,55925,24425,47
C31990,3,RAV4,1.8,Hybrid,1993,284074,1212,45
C12996,3,RAV4,2.0,Hybrid,2012,94859,22947,17
C42502,0,Z4,2.0,Petrol,1994,188217,2465,49
C38921,3,RAV4,2.0,Hybrid,2001,118776,9225,29
C00263,1,Mondeo,1.4,Diesel,1998,155019,3364,37
C07892,2,718 Cayman,2.0,Petrol,2018,32070,47003,45
C10528,3,RAV4,2.0,Petrol,2010,115505,14362,30
C18601,1,Fiesta,1.0,Petrol,1988,165055,890,45
C24115,2,Cayenne,2.6,Petrol,1989,135971,4459,11
C33499,3,Prius,1.0,Hybrid,2006,113495,8063,42
C13472,4,Golf,1.4,Hybrid,2014,62790,18825,34
C31726,3,Prius,1.0,Hybrid,1996,189148,2230,24
C23691,1,Fiesta,1.2,Petrol,1986,365876,133,46
C10558,3,Yaris,1.2,Petrol,1992,162560,1505,14
C06557,0,M5,5.0,Petrol,2004,108523,26167,2
C45578,4,Golf,1.6,Petrol,2003,162124,3820,19
C41504,1,Fiesta,1.0,Petrol,1995,129462,1895,33
C27873,3,Prius,1.8,Hybrid,2003,93555,10260,20
C10811,4,Golf,1.6,Petrol,2013,63371,15629,45
C38215,0,Z4,2.4,Petrol,1989,232180,1308,1
C11731,0,M5,4.4,Petrol,2000,179719,10587,7
C27439,4,Polo,1.0,Petrol,2020,12687,22430,10
C21780,1,Fiesta,1.0,Petrol,1990,147840,1172,21
C34080,3,Yaris,1.4,Petrol,1990,156444,1497,7
C22916,3,Yaris,1.2,Hybrid,2018,28435,26693,7
C08086,3,RAV4,2.4,Hybrid,1989,140141,3839,46
C43468,1,Focus,1.4,Diesel,1990,213005,1208,6
C14710,4,Golf,2.0,Petrol,2010,68124,13866,47
C15467,1,Focus,1.0,Petrol,1988,162364,1320,16
C37173,1,Mondeo,1.8,Diesel,2003,171640,4632,49
C28749,3,Yaris,1.0,Petrol,2000,129692,3057,11
C03105,4,Golf,1.8,Diesel,1996,149828,2953,33
C00709,3,Yaris,1.2,Petrol,2008,97903,7263,46
C38386,0,Z4,2.2,Petrol,1996,174875,3314,25
C23445,3,Prius,1.8,Hybrid,2018,10981,46774,15
C26511,4,Passat,1.8,Diesel,1985,210711,1049,32
C08467,0,X3,3.0,Petrol,1986,265848,921,29
C06231,1,Fiesta,1.2,Petrol,2001,109746,3604,40
C46359,3,RAV4,2.2,Hybrid,1997,245914,2498,43
C39358,4,Polo,1.6,Petrol,1996,161401,2030,49
C16387,0,X3,2.0,Diesel,1995,132552,4616,4
C34166,1,Mondeo,2.0,Diesel,2018,50072,32882,6
C04169,4,Polo,1.2,Petrol,1989,267147,429,0
C05804,3,Yaris,1.4,Petrol,1992,183644,1359,45
C12754,1,Mondeo,1.4,Diesel,2004,121533,6558,37
C02190,4,Polo,1.6,Petrol,2013,42338,15033,24
C12188,0,Z4,2.2,Petrol,1995,135562,4288,43
C31728,4,Passat,2.0,Diesel,1999,86553,7682,15
C19246,0,Z4,2.2,Petrol,1994,119436,4550,1
C37867,3,RAV4,2.0,Petrol,2004,107377,10234,24
C43515,3,Yaris,1.4,Hybrid,2015,34694,22766,10
C08719,4,Golf,1.4,Petrol,1992,184102,1424,37
C28825,1,Focus,1.6,Diesel,1996,155069,3175,6
C24469,1,Focus,1.4,Hybrid,2007,63479,13991,6
C48253,4,Golf,1.4,Diesel,2000,168131,2920,6
C07202,3,RAV4,2.4,Hybrid,1997,176599,4837,47
C09283,3,RAV4,2.0,Hybrid,1995,165811,4234,0
C26821,4,Golf,1.6,Petrol,1995,122551,3082,23
C27374,0,Z4,2.2,Petrol,2002,257621,2358,39
C22493,1,Focus,1.8,Diesel,2007,71840,13132,2
C45638,1,Fiesta,1.4,Petrol,1994,190355,1265,18
C45880,1,Fiesta,1.0,Petrol,2002,159285,2375,36
C29340,0,M5,5.0,Petrol,2004,77111,32771,21
C46548,4,Polo,1.2,Petrol,2022,7792,28808,37
C10804,3,RAV4,2.2,Hybrid,1992,201122,2682,40
C20965,1,Mondeo,1.4,Diesel,2018,17254,33314,49
C30033,1,Focus,2.0,Diesel,2017,42994,32425,47
C05223,3,RAV4,2.2,Hybrid,2014,74986,31606,1
C00660,3,Yaris,1.4,Petrol,1986,183150,914,33
C33246,0,Z4,3.0,Petrol,2013,56260,29440,29
C05866,3,Yaris,1.4,Hybrid,1993,235742,1096,11
C48872,4,Polo,2.0,Petrol,1989,264888,566,12
C22986,1,Focus,2.0,Petrol,2002,157182,4956,1
C28881,3,Prius,1.8,Hybrid,2003,173674,5451,35
C47088,3,Yaris,1.2,Hybrid,2014,58646,17019,41
C26528,4,Passat,2.0,Petrol,2014,53958,24731,15
C09648,0,M5,4.4,Petrol,2020,13861,131460,9
C49546,3,Prius,1.0,Hybrid,2007,63118,12304,11
C32375,4,Passat,1.6,Diesel,1993,241624,1274,8
C26159,0,Z4,2.0,Petrol,2006,65735,14176,27
C11712,3,Prius,1.0,Hybrid,1999,226768,1950,23
C27239,0,X3,2.4,Diesel,2000,151738,6047,9
C18354,4,Polo,1.0,Petrol,2003,97474,4224,25
C49515,3,RAV4,2.2,Hybrid,2017,28033,51782,22
C21725,1,Mondeo,2.0,Diesel,2008,123366,10090,2
C25925,4,Polo,1.2,Petrol,1986,258871,379,0
C41390,4,Golf,1.6,Diesel,1990,95291,2843,29
C04773,3,RAV4,2.2,Hybrid,2005,104776,14037,49
C35205,3,Prius,1.0,Hybrid,2015,69165,20153,39
C27879,0,X3,2.0,Diesel,2005,108846,10790,3
C05875,4,Polo,1.0,Petrol,2007,56551,7293,30
C17805,1,Mondeo,1.8,Diesel,1995,50929,6696,15
C34224,4,Golf,1.8,Diesel,2001,118235,5293,27
C07842,4,Polo,1.0,Petrol,2006,74979,6043,17
C15923,3,Yaris,1.4,Petrol,2001,102489,4757,30
C28367,1,Fiesta,1.0,Petrol,2019,23448,19281,31
C12084,0,M5,5.0,Petrol,1999,91463,21240,12
C20034,1,Mondeo,1.6,Diesel,1996,215284,1871,17
C14488,0,Z4,2.2,Petrol,1991,255843,1151,5
C20819,1,Focus,1.6,Diesel,1984,193656,1027,33
C37518,4,Golf,1.8,Petrol,2013,97099,13135,6
C44236,0,Z4,2.2,Petrol,2007,97510,12751,30
C48651,3,RAV4,2.2,Hybrid,2007,125850,13666,22
C36236,1,Mondeo,1.6,Diesel,1987,125294,2192,17
C21070,4,Golf,1.8,Petrol,2008,87849,10056,29
C09524,2,Cayenne,2.6,Petrol,2010,62223,30919,48
C32756,4,Polo,2.0,Petrol,1994,160270,2005,5
C12054,3,Prius,1.8,Hybrid,1998,97323,7154,17
C23594,3,Yaris,1.0,Petrol,1996,128710,2360,6
C08038,4,Golf,1.6,Hybrid,2007,144662,6909,1
C46977,3,Prius,1.4,Hybrid,1991,267617,929,37
C16400,4,Polo,1.0,Petrol,1987,197486,646,18
C45786,3,RAV4,2.0,Petrol,2014,38871,31623,30
C34616,0,Z4,2.2,Petrol,1992,121296,3925,33
C07625,2,Cayenne,3.5,Petrol,1996,166569,6422,46
C13662,4,Passat,1.8,Diesel,2008,133616,9332,39
C37737,4,Polo,1.2,Petrol,2014,45594,13644,7
C26542,4,Passat,1.4,Diesel,2005,140092,6399,6
C13268,1,Focus,1.6,Petrol,2004,152796,5252,43
C18083,1,Fiesta,1.2,Petrol,1997,129828,2366,48
C48086,1,Mondeo,1.4,Diesel,2009,65509,13677,12
C42768,0,Z4,3.0,Petrol,2003,112730,10189,43
C04071,1,Fiesta,1.4,Petrol,1993,217948,927,20
C16287,3,RAV4,2.4,Hybrid,1998,110835,8787,39
C01119,1,Fiesta,1.2,Petrol,2021,19592,24655,39
C10075,4,Polo,1.4,Petrol,2019,15792,24419,20
C11374,3,Yaris,1.2,Hybrid,1995,247986,1036,36
C32685,4,Passat,1.6,Diesel,1996,144298,3629,30
C46434,3,Yaris,1.0,Hybrid,2008,96894,8015,49
C25350,4,Polo,2.0,Petrol,2022,1197,38466,35
C06716,0,M5,5.0,Petrol,2012,53898,65080,19
C34568,3,RAV4,2.2,Petrol,2019,23063,50707,4
C01031,2,718 Cayman,2.0,Petrol,1992,139701,3916,14
C22754,4,Polo,1.2,Petrol,2013,73125,10690,43
C11762,1,Fiesta,1.0,Petrol,1995,83569,2665,16
C35897,3,Yaris,1.0,Hybrid,2012,37727,15474,18
