AccidentID,CarID,Date,Severity,Description,RepairCost
A05735,C03851,2024-12-22,Major,Side panel scratch,3188.0
A60256,C40041,2020-12-23,Minor,Front-end collision,3589.0
A60257,C40041,2023-08-07,Moderate,Head-on collision,3553.0
A60258,C40041,2023-06-02,Major,Collision with pole,3473.0
A22982,C15268,2022-07-22,Moderate,Minor collision at roundabout,4349.0
A22983,C15268,2025-05-29,Moderate,Collision with pole,129.0
A73962,C49147,2024-10-19,Severe,Door dent from tight parking,868.0
A73963,C49147,2022-10-13,Minor,Front-end collision,1499.0
A73964,C49147,2022-10-20,Minor,Head-on collision,4677.0
A69049,C45927,2024-05-28,Moderate,Side mirror broken,4795.0
A69050,C45927,2024-03-20,Major,Accident on slippery road,4188.0
A69051,C45927,2025-06-03,Severe,Minor collision at roundabout,4806.0
A52079,C34658,2025-08-20,Moderate,Front-end collision,4197.0
A55916,C37214,2021-07-14,Severe,Parking lot scrape,4550.0
A30518,C20305,2022-08-26,Moderate,Head-on collision,3175.0
A22984,C15270,2023-11-21,Major,Scratched paint on rear bumper,2540.0
A22985,C15270,2021-08-13,Severe,Rear quarter panel dent,2040.0
A33579,C22368,2025-08-23,Minor,Rear-end hit at traffic light,3450.0
A33580,C22368,2022-06-05,Severe,Door dent from tight parking,2964.0
A64279,C42685,2024-11-21,Moderate,Accident on slippery road,3059.0
A17667,C11733,2024-04-12,Severe,Parking lot scrape,924.0
A17668,C11733,2021-03-13,Minor,Tire puncture during accident,523.0
A17669,C11733,2023-12-01,Severe,Collision with pole,1427.0
A40337,C26804,2021-11-18,Severe,Collision with pole,4361.0
A66683,C44306,2025-07-01,Severe,Minor fender bender,3225.0
A71467,C47523,2021-10-12,Minor,Side panel scratch,2017.0
A71468,C47523,2023-02-17,Moderate,Minor parking lot accident,4982.0
A48369,C32208,2024-07-12,Severe,Minor fender bender,970.0
A03698,C02531,2025-02-27,Major,Rear bumper collision,885.0
A03699,C02531,2022-05-29,Moderate,Front bumper scrape,4689.0
A03700,C02531,2022-08-23,Moderate,Hood dent from minor crash,2905.0
A26651,C17747,2024-04-28,Severe,Hood dent from minor crash,1519.0
A26652,C17747,2022-11-28,Major,Minor parking lot accident,1759.0
A26653,C17747,2022-01-12,Moderate,Collision with pole,2064.0
A22720,C15080,2025-06-17,Major,Scratched paint on rear bumper,989.0
A22721,C15080,2023-05-19,Major,Damage from pothole incident,1953.0
A20520,C13625,2024-05-24,Severe,Minor collision at roundabout,3380.0
A20521,C13625,2022-09-29,Minor,Tire puncture during accident,2443.0
A46002,C30639,2023-06-29,Severe,Rear quarter panel dent,2794.0
A46003,C30639,2023-07-21,Moderate,Rear quarter panel dent,576.0
A46004,C30639,2025-06-21,Moderate,Door dent from tight parking,692.0
A45687,C30441,2021-06-11,Major,Door dent from tight parking,3648.0
A45688,C30441,2024-08-19,Major,Rear bumper collision,4982.0
A54172,C36057,2022-08-13,Minor,Rear bumper collision,1030.0
A54173,C36057,2022-03-02,Moderate,Minor collision at roundabout,4134.0
A55275,C36804,2021-09-23,Severe,Windshield damage,564.0
A55276,C36804,2024-03-07,Minor,Accident on slippery road,2431.0
A43935,C29227,2022-03-24,Minor,Side panel scratch,2950.0
A43936,C29227,2023-09-09,Severe,Windshield damage,197.0
A43937,C29227,2024-11-28,Major,Front-end collision,702.0
A08408,C05634,2021-05-12,Major,Side mirror broken,2030.0
A08409,C05634,2021-06-19,Moderate,Collision with pole,583.0
A72302,C48064,2021-06-02,Minor,Side swipe from passing vehicle,4567.0
A02630,C01813,2020-11-20,Severe,Side swipe from passing vehicle,775.0
A02631,C01813,2021-12-05,Major,Tire puncture during accident,3080.0
A02632,C01813,2022-02-17,Minor,Front-end collision,617.0
A25232,C16824,2025-03-26,Major,Minor parking lot accident,2216.0
A05844,C03929,2023-02-11,Major,Accident on slippery road,2828.0
A56044,C37287,2021-01-28,Major,Damage from pothole incident,3873.0
A56045,C37287,2021-04-21,Major,Minor collision at roundabout,3953.0
A56046,C37287,2021-02-08,Severe,Damage from pothole incident,3746.0
A37630,C25046,2023-01-16,Major,Parking lot scrape,2072.0
A37631,C25046,2024-03-10,Major,Rear-end hit at traffic light,1617.0
A37632,C25046,2025-06-04,Moderate,Rear bumper collision,4185.0
A15761,C10431,2022-08-29,Severe,Door dent from tight parking,1462.0
A15762,C10431,2021-11-24,Severe,Minor collision at roundabout,3859.0
A15763,C10431,2022-01-15,Major,Accident on slippery road,1407.0
A38752,C25769,2021-08-19,Moderate,Fender scratch from curb,2340.0
A43737,C29104,2021-07-15,Minor,Scratched paint on rear bumper,2143.0
A43738,C29104,2021-02-25,Severe,Minor parking lot accident,2003.0
A43739,C29104,2024-07-04,Minor,Side mirror broken,3511.0
A54887,C36538,2025-02-26,Minor,Front bumper scrape,3700.0
A59153,C39329,2021-02-18,Minor,Front bumper scrape,1494.0
A59154,C39329,2022-02-17,Major,Head-on collision,1214.0
A59155,C39329,2025-03-01,Moderate,Side mirror broken,650.0
A53382,C35540,2025-05-08,Minor,Head-on collision,653.0
A53383,C35540,2024-01-02,Severe,Minor parking lot accident,605.0
A42215,C28076,2020-10-13,Minor,Windshield damage,3383.0
A42216,C28076,2020-10-03,Major,Side mirror broken,3953.0
A26803,C17841,2023-02-20,Minor,Head-on collision,477.0
A41822,C27803,2025-06-18,Severe,Accident on slippery road,2383.0
A11541,C07683,2023-07-03,Severe,Door dent from tight parking,288.0
A36450,C24280,2023-09-30,Severe,Windshield damage,1041.0
A70886,C47150,2024-08-20,Major,Parking lot scrape,3422.0
A70887,C47150,2023-12-04,Major,Scratched paint on rear bumper,1769.0
A70888,C47150,2024-09-04,Severe,Rear quarter panel dent,1516.0
A70536,C46916,2022-10-21,Moderate,Rear-end hit at traffic light,4645.0
A70537,C46916,2020-11-22,Minor,Rear bumper collision,4237.0
A70538,C46916,2021-07-12,Moderate,Minor parking lot accident,3182.0
A14782,C09802,2025-01-20,Severe,Side mirror broken,319.0
A14783,C09802,2024-03-01,Major,Minor parking lot accident,890.0
A58324,C38801,2022-06-21,Minor,Side swipe from passing vehicle,2146.0
A58325,C38801,2024-03-11,Major,Side mirror broken,4119.0
A58326,C38801,2025-06-28,Major,Minor parking lot accident,3350.0
A37014,C24670,2024-09-15,Moderate,Front bumper scrape,1556.0
A66579,C44234,2024-12-01,Major,Hood dent from minor crash,1543.0
A66580,C44234,2024-12-30,Severe,Side panel scratch,3885.0
A66581,C44234,2023-08-13,Minor,Hood dent from minor crash,3709.0
A47925,C31920,2022-07-11,Minor,Side swipe from passing vehicle,910.0
A10713,C07135,2021-06-25,Major,Rear-end hit at traffic light,1281.0
A50634,C33705,2021-11-30,Severe,Minor fender bender,2608.0
A26872,C17894,2024-08-09,Moderate,Collision with pole,4333.0
A26873,C17894,2025-08-25,Severe,Head-on collision,1915.0
A64915,C43119,2022-01-07,Minor,Damage from pothole incident,3900.0
A64916,C43119,2024-01-10,Moderate,Hood dent from minor crash,441.0
A54699,C36421,2025-06-03,Minor,Minor collision at roundabout,3422.0
A14150,C09406,2022-10-01,Minor,Door dent from tight parking,4542.0
A20210,C13414,2022-03-08,Moderate,Side mirror broken,2701.0
A46749,C31139,2025-01-14,Moderate,Side panel scratch,1573.0
A46750,C31139,2025-08-18,Major,Front bumper scrape,760.0
A04018,C02730,2023-04-01,Severe,Side swipe from passing vehicle,2617.0
A04019,C02730,2025-06-20,Major,Parking lot scrape,3080.0
A04020,C02730,2024-01-09,Major,Scratched paint on rear bumper,877.0
A44521,C29626,2020-10-23,Major,Door dent from tight parking,2417.0
A44522,C29626,2024-06-04,Moderate,Front-end collision,2362.0
A44523,C29626,2023-01-30,Moderate,Minor parking lot accident,4889.0
A72033,C47895,2024-02-10,Minor,Door dent from tight parking,240.0
A63362,C42091,2024-06-18,Minor,Side panel scratch,2474.0
A63363,C42091,2021-06-05,Severe,Rear-end hit at traffic light,295.0
A54666,C36400,2020-09-21,Moderate,Front-end collision,4629.0
A54667,C36400,2024-04-09,Severe,Side panel scratch,4062.0
A54668,C36400,2024-02-12,Moderate,Door dent from tight parking,2418.0
A09342,C06245,2023-05-26,Minor,Side swipe from passing vehicle,1115.0
A09343,C06245,2024-10-15,Major,Minor parking lot accident,1900.0
A09344,C06245,2024-12-28,Severe,Rear quarter panel dent,4893.0
A08274,C05546,2022-11-21,Major,Fender scratch from curb,927.0
A08275,C05546,2024-01-11,Moderate,Parking lot scrape,2148.0
A08276,C05546,2021-02-06,Major,Head-on collision,2400.0
A06063,C04065,2022-03-07,Major,Scratched paint on rear bumper,3552.0
A06064,C04065,2022-12-06,Moderate,Fender scratch from curb,1781.0
A19408,C12852,2024-04-11,Minor,Collision with pole,3523.0
A19409,C12852,2021-01-24,Moderate,Minor fender bender,3634.0
A19410,C12852,2021-09-21,Major,Side panel scratch,2364.0
A32718,C21803,2020-10-21,Major,Damage from pothole incident,1406.0
A32719,C21803,2024-02-10,Moderate,Fender scratch from curb,1169.0
A32720,C21803,2021-04-23,Moderate,Rear bumper collision,2422.0
A61922,C41164,2022-02-12,Moderate,Accident on slippery road,3282.0
A09320,C06233,2024-03-27,Moderate,Minor collision at roundabout,244.0
A52693,C35095,2025-08-17,Major,Rear bumper collision,1818.0
A60482,C40196,2023-01-27,Moderate,Side panel scratch,2748.0
A60483,C40196,2020-12-06,Moderate,Minor parking lot accident,538.0
A59024,C39251,2023-09-13,Major,Front bumper scrape,4200.0
A59025,C39251,2021-09-14,Major,Side mirror broken,1461.0
A09297,C06218,2024-05-09,Major,Side swipe from passing vehicle,700.0
A55226,C36776,2023-01-28,Major,Tire puncture during accident,3168.0
A55227,C36776,2021-07-27,Minor,Head-on collision,2027.0
A55228,C36776,2023-05-14,Moderate,Side panel scratch,4760.0
A13380,C08894,2021-03-19,Severe,Front bumper scrape,1663.0
A13381,C08894,2025-04-25,Severe,Minor parking lot accident,2217.0
A13382,C08894,2023-01-16,Minor,Parking lot scrape,1807.0
A08995,C06021,2021-08-03,Moderate,Windshield damage,4105.0
A69289,C46089,2025-05-15,Severe,Front bumper scrape,704.0
A22950,C15243,2020-09-21,Severe,Side mirror broken,2648.0
A68124,C45308,2023-01-29,Moderate,Side swipe from passing vehicle,2979.0
A68125,C45308,2025-07-09,Moderate,Parking lot scrape,3356.0
A39945,C26551,2025-02-26,Major,Minor fender bender,1593.0
A39946,C26551,2023-05-21,Major,Accident on slippery road,4023.0
A39947,C26551,2020-10-29,Severe,Damage from pothole incident,4945.0
A09010,C06035,2020-10-24,Minor,Front-end collision,3016.0
A11906,C07906,2021-03-25,Minor,Minor collision at roundabout,4891.0
A11907,C07906,2025-02-14,Severe,Parking lot scrape,3086.0
A48394,C32226,2020-12-03,Moderate,Collision with pole,215.0
A08991,C06018,2021-03-19,Major,Collision with pole,131.0
A08992,C06018,2021-01-10,Minor,Damage from pothole incident,4133.0
A32844,C21880,2023-08-05,Major,Damage from pothole incident,746.0
A04104,C02792,2024-01-24,Major,Side panel scratch,2911.0
A04105,C02792,2022-05-05,Moderate,Parking lot scrape,3084.0
A64151,C42606,2024-08-30,Minor,Side panel scratch,4568.0
A64152,C42606,2023-10-02,Minor,Minor parking lot accident,547.0
A08704,C05824,2025-04-06,Moderate,Side swipe from passing vehicle,1825.0
A23143,C15388,2023-01-25,Moderate,Collision with pole,2747.0
A44430,C29562,2021-11-26,Moderate,Collision with pole,4866.0
A59382,C39476,2025-01-02,Severe,Scratched paint on rear bumper,483.0
A59383,C39476,2021-08-24,Major,Front-end collision,3169.0
A59384,C39476,2022-12-15,Major,Side mirror broken,4946.0
A00442,C00293,2021-12-19,Major,Side swipe from passing vehicle,4208.0
A00443,C00293,2023-12-31,Minor,Fender scratch from curb,4577.0
A00444,C00293,2023-02-17,Major,Door dent from tight parking,1662.0
A25450,C16958,2025-08-24,Severe,Minor fender bender,4240.0
A25451,C16958,2024-07-28,Major,Front-end collision,2990.0
A46348,C30861,2022-08-28,Major,Front bumper scrape,3286.0
A21201,C14074,2024-07-16,Minor,Hood dent from minor crash,1056.0
A21202,C14074,2022-02-15,Major,Rear-end hit at traffic light,3571.0
A32810,C21857,2023-06-15,Moderate,Collision with pole,2482.0
A32811,C21857,2024-09-09,Severe,Side panel scratch,2079.0
A33165,C22080,2022-02-25,Moderate,Side mirror broken,4772.0
A33166,C22080,2022-09-14,Major,Front-end collision,693.0
A33167,C22080,2023-11-14,Major,Front-end collision,3770.0
A25549,C17024,2022-11-21,Major,Door dent from tight parking,3224.0
A13164,C08740,2022-09-10,Minor,Rear quarter panel dent,3663.0
A13165,C08740,2020-10-25,Minor,Accident on slippery road,4946.0
A13166,C08740,2020-12-15,Moderate,Minor parking lot accident,4401.0
A23803,C15826,2021-03-04,Major,Side panel scratch,126.0
A23804,C15826,2025-01-24,Major,Fender scratch from curb,1280.0
A27084,C18049,2025-04-30,Severe,Accident on slippery road,3400.0
A27085,C18049,2020-09-23,Major,Collision with pole,899.0
A27086,C18049,2022-11-15,Minor,Scratched paint on rear bumper,3323.0
A26075,C17373,2024-06-02,Moderate,Side mirror broken,240.0
A69704,C46365,2025-04-04,Moderate,Side panel scratch,4495.0
A69705,C46365,2024-11-17,Major,Fender scratch from curb,4781.0
A69706,C46365,2023-07-10,Minor,Head-on collision,2131.0
A35367,C23538,2021-09-06,Major,Door dent from tight parking,2685.0
A35368,C23538,2021-06-06,Severe,Tire puncture during accident,3526.0
A35369,C23538,2022-11-28,Severe,Windshield damage,2718.0
A68421,C45500,2025-01-13,Moderate,Side swipe from passing vehicle,975.0
A68422,C45500,2022-03-22,Minor,Door dent from tight parking,1038.0
A60470,C40186,2022-02-21,Moderate,Minor collision at roundabout,4794.0
A60471,C40186,2024-09-21,Moderate,Accident on slippery road,2614.0
A60472,C40186,2022-09-30,Severe,Hood dent from minor crash,3044.0
A14485,C09614,2024-01-03,Severe,Tire puncture during accident,1053.0
A14486,C09614,2022-02-28,Minor,Rear-end hit at traffic light,3969.0
A65181,C43282,2021-01-16,Major,Collision with pole,4234.0
A56938,C37892,2020-09-10,Severe,Minor parking lot accident,3917.0
A56939,C37892,2022-07-12,Severe,Door dent from tight parking,4737.0
A39375,C26179,2022-04-03,Minor,Parking lot scrape,2367.0
A39376,C26179,2022-02-05,Minor,Rear quarter panel dent,3059.0
A68996,C45893,2024-03-18,Minor,Side mirror broken,2119.0
A68997,C45893,2023-11-15,Moderate,Parking lot scrape,2933.0
A61651,C40972,2021-01-13,Severe,Scratched paint on rear bumper,1752.0
A61652,C40972,2021-05-02,Severe,Side panel scratch,3351.0
A33389,C22225,2024-11-07,Moderate,Rear quarter panel dent,842.0
A36595,C24382,2025-01-09,Severe,Front bumper scrape,3708.0
A36596,C24382,2024-08-21,Minor,Collision with pole,1106.0
A36597,C24382,2021-05-01,Severe,Front bumper scrape,1444.0
A52359,C34856,2024-06-25,Severe,Front bumper scrape,2764.0
A52360,C34856,2024-08-10,Severe,Tire puncture during accident,4184.0
A52361,C34856,2021-07-18,Major,Rear-end hit at traffic light,311.0
A73090,C48578,2021-08-16,Major,Accident on slippery road,586.0
A73091,C48578,2023-09-17,Major,Side panel scratch,2736.0
A73092,C48578,2022-04-27,Major,Rear quarter panel dent,3818.0
A11656,C07754,2024-06-24,Moderate,Parking lot scrape,1750.0
A11657,C07754,2021-05-20,Severe,Scratched paint on rear bumper,2381.0
A65996,C43835,2023-01-08,Moderate,Front bumper scrape,2871.0
A65997,C43835,2022-09-30,Moderate,Damage from pothole incident,1584.0
A39471,C26236,2025-04-04,Moderate,Side panel scratch,427.0
A39472,C26236,2021-05-09,Moderate,Minor parking lot accident,2453.0
A39473,C26236,2023-05-28,Minor,Rear quarter panel dent,2894.0
A66572,C44230,2024-08-16,Minor,Accident on slippery road,593.0
A74612,C49597,2023-07-28,Minor,Side mirror broken,233.0
A74613,C49597,2022-04-12,Minor,Parking lot scrape,1797.0
A27872,C18553,2021-07-03,Minor,Side swipe from passing vehicle,4006.0
A64956,C43137,2023-07-03,Moderate,Minor parking lot accident,287.0
A55062,C36673,2022-12-27,Major,Tire puncture during accident,2261.0
A55063,C36673,2021-07-20,Moderate,Side swipe from passing vehicle,4089.0
A55064,C36673,2020-09-03,Minor,Head-on collision,1072.0
A35894,C23922,2024-08-01,Severe,Front-end collision,2301.0
A35895,C23922,2023-01-18,Minor,Parking lot scrape,1955.0
A35896,C23922,2025-01-09,Major,Rear quarter panel dent,433.0
A69076,C45943,2023-10-23,Minor,Minor parking lot accident,4116.0
A73005,C48526,2024-01-16,Severe,Accident on slippery road,4985.0
A55400,C36894,2025-02-13,Moderate,Fender scratch from curb,2152.0
A40171,C26696,2023-12-20,Moderate,Front bumper scrape,2987.0
A40172,C26696,2024-09-11,Moderate,Minor collision at roundabout,3947.0
A40173,C26696,2025-07-03,Major,Front-end collision,4115.0
A63421,C42128,2020-09-01,Major,Accident on slippery road,4171.0
A63422,C42128,2024-12-11,Moderate,Accident on slippery road,3646.0
A63423,C42128,2020-11-20,Severe,Accident on slippery road,2322.0
A21355,C14171,2022-01-11,Major,Door dent from tight parking,1014.0
A05548,C03733,2025-01-07,Severe,Rear quarter panel dent,986.0
A05549,C03733,2022-11-08,Major,Side mirror broken,1100.0
A11860,C07882,2024-10-18,Severe,Scratched paint on rear bumper,4498.0
A11861,C07882,2021-08-16,Moderate,Rear bumper collision,3765.0
A34558,C23030,2021-04-26,Major,Side swipe from passing vehicle,1640.0
A34559,C23030,2025-08-20,Minor,Fender scratch from curb,181.0
A34560,C23030,2023-03-30,Major,Windshield damage,1782.0
A53280,C35474,2022-11-25,Minor,Side swipe from passing vehicle,1513.0
A53281,C35474,2020-09-21,Moderate,Hood dent from minor crash,2892.0
A74740,C49686,2020-09-16,Severe,Rear-end hit at traffic light,318.0
A74741,C49686,2022-06-12,Moderate,Fender scratch from curb,2574.0
A07173,C04818,2024-09-13,Major,Tire puncture during accident,1604.0
A07174,C04818,2020-11-25,Minor,Front bumper scrape,4505.0
A62729,C41694,2021-05-25,Major,Minor fender bender,2199.0
A18110,C12008,2024-08-18,Major,Door dent from tight parking,4399.0
A18111,C12008,2021-07-03,Severe,Fender scratch from curb,781.0
A18112,C12008,2023-01-10,Severe,Rear bumper collision,905.0
A14315,C09507,2021-09-14,Minor,Windshield damage,3236.0
A14316,C09507,2020-12-27,Major,Head-on collision,2012.0
A14317,C09507,2021-08-19,Major,Windshield damage,549.0
A67383,C44799,2025-04-09,Minor,Rear-end hit at traffic light,2652.0
A67384,C44799,2020-09-25,Severe,Rear bumper collision,741.0
A46761,C31144,2023-07-26,Severe,Minor collision at roundabout,3537.0
A02002,C01391,2023-10-07,Severe,Accident on slippery road,4218.0
A02003,C01391,2021-11-17,Severe,Front-end collision,3711.0
A57460,C38250,2021-06-29,Moderate,Side panel scratch,602.0
A57461,C38250,2025-03-07,Major,Fender scratch from curb,2766.0
A57462,C38250,2024-08-15,Minor,Damage from pothole incident,2173.0
A63254,C42029,2023-04-13,Severe,Rear bumper collision,1757.0
A63255,C42029,2021-08-31,Major,Scratched paint on rear bumper,2470.0
A63256,C42029,2022-12-14,Severe,Front bumper scrape,1136.0
A31267,C20835,2021-03-29,Minor,Scratched paint on rear bumper,2198.0
A31268,C20835,2021-01-09,Moderate,Fender scratch from curb,4032.0
A31269,C20835,2022-02-17,Minor,Rear bumper collision,1793.0
A39706,C26397,2022-05-24,Severe,Side panel scratch,537.0
A39707,C26397,2022-08-19,Severe,Fender scratch from curb,1628.0
A10233,C06809,2024-05-14,Major,Parking lot scrape,2554.0
A10234,C06809,2023-11-19,Moderate,Collision with pole,3072.0
A10235,C06809,2021-08-03,Minor,Accident on slippery road,1216.0
A13884,C09226,2023-06-24,Moderate,Windshield damage,351.0
A72819,C48395,2021-03-15,Severe,Front bumper scrape,256.0
A72820,C48395,2021-12-04,Severe,Accident on slippery road,367.0
A72821,C48395,2023-03-20,Major,Front-end collision,1040.0
A10445,C06944,2024-01-15,Moderate,Scratched paint on rear bumper,4580.0
A35822,C23871,2022-08-23,Major,Door dent from tight parking,4142.0
A48799,C32493,2024-02-07,Major,Minor collision at roundabout,3176.0
A48800,C32493,2023-11-16,Moderate,Damage from pothole incident,685.0
A54577,C36346,2021-07-26,Moderate,Rear bumper collision,2480.0
A54578,C36346,2022-05-15,Major,Damage from pothole incident,3193.0
A54579,C36346,2020-10-20,Minor,Parking lot scrape,1137.0
A16223,C10756,2024-05-29,Severe,Side panel scratch,393.0
A18551,C12302,2022-02-10,Severe,Minor parking lot accident,2887.0
A18552,C12302,2023-10-04,Severe,Front-end collision,1556.0
A72811,C48387,2023-04-03,Moderate,Rear quarter panel dent,4555.0
A72812,C48387,2024-01-10,Major,Minor parking lot accident,4422.0
A64373,C42746,2024-01-02,Moderate,Door dent from tight parking,2558.0
A64374,C42746,2021-08-27,Severe,Tire puncture during accident,2207.0
A64375,C42746,2025-05-11,Minor,Side mirror broken,3603.0
A43708,C29090,2020-12-18,Minor,Collision with pole,1687.0
A43709,C29090,2025-07-27,Moderate,Side swipe from passing vehicle,3942.0
A67271,C44713,2023-01-14,Severe,Parking lot scrape,3979.0
A21624,C14344,2025-06-21,Moderate,Tire puncture during accident,1221.0
A21625,C14344,2024-10-30,Minor,Fender scratch from curb,4307.0
A21626,C14344,2023-08-27,Major,Windshield damage,762.0
A57351,C38173,2022-12-23,Minor,Scratched paint on rear bumper,355.0
A36226,C24122,2021-05-25,Moderate,Head-on collision,3678.0
A36227,C24122,2023-10-11,Severe,Door dent from tight parking,2892.0
A26769,C17821,2024-07-23,Severe,Tire puncture during accident,192.0
A26770,C17821,2022-10-09,Moderate,Door dent from tight parking,4414.0
A01611,C01123,2025-03-01,Major,Accident on slippery road,4614.0
A01612,C01123,2024-09-23,Severe,Minor parking lot accident,1574.0
A01613,C01123,2024-01-15,Severe,Rear bumper collision,4672.0
A45931,C30580,2024-05-30,Minor,Accident on slippery road,4588.0
A72542,C48217,2023-11-20,Minor,Fender scratch from curb,3441.0
A72543,C48217,2024-12-21,Minor,Tire puncture during accident,1951.0
A23550,C15657,2023-01-02,Severe,Minor parking lot accident,4903.0
A23551,C15657,2021-07-10,Moderate,Door dent from tight parking,833.0
A00227,C00148,2022-11-27,Major,Minor parking lot accident,271.0
A00228,C00148,2025-02-20,Minor,Front-end collision,3320.0
A44550,C29643,2024-01-11,Major,Damage from pothole incident,4768.0
A44551,C29643,2021-08-03,Minor,Side mirror broken,593.0
A66016,C43851,2025-03-07,Severe,Minor fender bender,205.0
A66017,C43851,2023-03-30,Minor,Side panel scratch,1494.0
A03414,C02355,2021-06-07,Major,Windshield damage,1502.0
A03415,C02355,2023-01-03,Severe,Parking lot scrape,1541.0
A47341,C31521,2024-11-11,Severe,Accident on slippery road,3532.0
